Scan_Height_mm,Scan_Height_Layers,mm_per_Layer_Height,Scan_Width_mm,Scan_Width_Layers,mm_per_Layer_Width,Scan_Depth_mm,Scan_Depth_Layers,mm_per_Layer_Depth
24.8,55,0.450909091,21.7,395,0.054936709,20.1,382,0.052617801
26.3,46,0.57173913,18.5,422,0.043838863,19,379,0.050131926
25.4,58,0.437931034,20.4,409,0.049877751,20,400,0.05
25.3,36,0.702777778,21.6,430,0.050232558,18.4,362,0.050828729
27.8,46,0.604347826,21.9,365,0.06,21.6,372,0.058064516
30,46,0.652173913,22.7,334,0.067964072,21.4,301,0.071096346
23.6,41,0.575609756,20.8,316,0.065822785,19.1,298,0.06409396
27.1,60,0.451666667,20.8,314,0.066242038,20.1,323,0.062229102
26,45,0.577777778,21.6,342,0.063157895,19.3,291,0.066323024
23.9,48,0.497916667,19.8,320,0.061875,18.6,287,0.064808362
26,20,1.3,22.2,338,0.065680473,20.4,304,0.067105263
27.2,27,1.007407407,20.8,324,0.064197531,19.4,301,0.064451827
24.1,28,0.860714286,23.9,356,0.067134831,22.2,343,0.064723032
